year,product_sector,value,global_demand_index,demand_growth_rate_pct,demand_3yr_ma
2015,Agricultural Products,11007.890104,0.06372519453440169,,11007.890104
2016,Agricultural Products,9971.365942,0.06465257046012224,-9.41619285991374,10489.628023000001
2017,Agricultural Products,10176.748441000002,0.0626261442523077,2.059722812247,10385.334829000001
2018,Agricultural Products,8674.170198,0.04921391587229415,-14.764816598457188,9607.428193666667
2019,Agricultural Products,9145.108,0.057192533756755,5.429197159499877,9332.008879666668
2020,Agricultural Products,9326.060000000001,0.08112579738030633,1.9786753748561647,9048.446066
2021,Agricultural Products,10786.671263,0.0708718163166492,15.66161125920269,9752.613087666667
2022,Agricultural Products,12834.879324,0.0613621684403775,18.988323747527925,10982.536862333334
2023,Agricultural Products,11793.402071999999,0.05992765059910363,-8.114429639026977,11804.984219666667
2024,Agricultural Products,11924.018210999999,0.0631555380765238,1.1075357068518032,12184.099868999998
2015,Automotive Products,4661.574516000001,0.026986074539458307,,4661.574516000001
2016,Automotive Products,3294.5184289999997,0.021361073909235303,-29.32605887362374,3978.0464725
2017,Automotive Products,3319.445973,0.020427359833846154,0.7566369573342113,3758.512972666667
2018,Automotive Products,4425.308463,0.025107503477075924,33.31467055029549,3679.757621666666
2019,Automotive Products,3750.508,0.023455278537440966,-15.248665005886174,3831.754145333334
2020,Automotive Products,1821.155,0.015841915184775963,-51.44244459683862,3332.323821
2021,Automotive Products,1848.500741,0.012145230144049671,1.5015603284728618,2473.387913666667
2022,Automotive Products,1685.444353,0.008057926971878794,-8.821007445839047,1785.0333646666668
2023,Automotive Products,3498.757163,0.017778779652834944,107.586631784811,2344.234085666667
2024,Automotive Products,3801.795702,0.020136203163068578,8.661319573838622,2995.332406
2015,Chemicals,7190.111749,0.04162389573299034,,7190.111749
2016,Chemicals,6999.367971,0.04538266206993051,-2.6528624958649494,7094.73986
2017,Chemicals,6739.077480999999,0.04147124603692307,-3.718771338761495,6976.185733666666
2018,Chemicals,6890.658235000001,0.03909495282444548,2.24928047536721,6876.367895666666
2019,Chemicals,7143.237,0.04467304522319488,3.6655244881695914,6924.324238666667
2020,Chemicals,6662.157,0.05795296179713506,-6.7347618453650675,6898.684078333333
2021,Chemicals,8193.536737,0.05383410845199699,22.986245100498227,7332.976912333334
2022,Chemicals,10722.088852,0.05126114594150101,30.860325597634542,8525.927529666667
2023,Chemicals,9067.683388000001,0.04607703175909835,-15.429880192527989,9327.769659000001
2024,Chemicals,9135.156964,0.04838434018347069,0.7441104096035378,9641.643068
2015,Clothing,423.878663,0.0024538535544465223,,423.878663
2016,Clothing,468.912528,0.003040345769325296,10.624234935835863,446.3955955
