List of importing markets for a product exported by Algeria ,,,,,
Product: TOTAL All products,,,,,

Sources: ITC calculations based on UN COMTRADE statistics.,,,,,







Unit : US Dollar thousand,,,,,

Importers,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017
World ,65998138,60387689,34795951,29992101,35191117
Italy ,9016807,8189921,5263625,5208346,5629480
France ,6786095,6455945,4578427,3424139,4431262
Spain ,10344328,9253437,6164468,3879164,4103371
United States of America ,5340529,4779499,2210645,3866104,3467906
Brazil ,2661287,2680817,1481833,1616165,2127963
Netherlands ,4823530,4730782,1970204,1470837,1903437
Türkiye ,2660820,2652467,1806689,1344187,1837059
United Kingdom ,7202280,5072669,2429917,1061293,1606170
Portugal ,1603741,1760513,911949,848679,955804
Belgium ,2048929,1754376,999490,987319,920587
"Korea, Republic of ",563197,1074520,780690,234525,892180
India ,816233,682754,260067,479791,871524
Tunisia ,1649047,1574586,846023,603483,753422
China ,2181280,1729321,557122,333398,691612
Canada ,3054634,1330210,643685,1300743,668028
Egypt ,644199,456479,495996,286545,456828
Morocco ,1051846,1131066,629897,499056,450368
Greece ,396082,232410,171170,161449,427922
Cuba ,234193,206946,154634,217862,353580
Singapore ,73,259325,296599,511482,331869
Indonesia ,346082,381107,272150,327411,301519
Japan ,1038756,1267598,595564,163749,249455
Estonia ,0,0,0,1,218252
Thailand ,149397,341289,40290,150428,203445
Australia ,75806,1564,2186,175840,168709
Jordan ,8174,6026,30563,55650,132846
Philippines ,0,28,2410,38,107180
Malaysia ,73336,126006,24296,102366,103660
Malta ,285650,188040,272483,56348,102242
Kuwait ,7694,20736,1250,221,79914
"Taipei, Chinese ",45,169047,168038,52819,52569
Mauritania ,29200,247896,57055,38522,50068
Lebanon ,52606,58862,15485,17862,49086
United Arab Emirates ,41868,6361,5914,20029,48196
Tajikistan ,113942,41,49,17,34177
Norway ,18,27312,32741,4809,32376
Switzerland ,891,45149,6829,92109,30607
Senegal ,1578,1013,8395,7742,27077
Albania ,18693,12904,10653,8052,22031
Poland ,35804,43135,26668,16250,21609
Area Nes ,0,196,7711,68,20439
Togo ,110,27,9361,1232,19112
"Libya, State of ",22443,36427,22515,31053,18940
Sudan ,26093,0,0,0,18070
Argentina ,0,0,0,44147,16864
Ghana ,12414,13076,1889,2479,15727
Ethiopia ,0,6,0,0,15192
Cyprus ,1153,15369,20131,3266,14960
Germany ,21053,414782,71396,63438,14045
Dominican Republic ,0,0,0,9565,13629
Panama ,0,22,16124,28,12948
Mexico ,44005,18209,9664,49519,11007
Ukraine ,15113,15292,16180,3284,10169
Syrian Arab Republic ,34877,25010,12674,5466,6536
Côte d'Ivoire ,297,33116,22728,8020,6354
Sweden ,150,29632,4626,3058,6347
Russian Federation ,4899,7357,8724,8069,6295
Guinea ,17571,8269,2727,2324,5670
Saudi Arabia ,12102,5997,6809,7605,3962
Croatia ,10421,3699,4020,3738,3576
"Tanzania, United Republic of ",146,0,4656,6303,3463
Ireland ,175457,311241,81326,8826,3330
Qatar ,4683,542,1676,1751,3313
Slovenia ,6888,32046,30717,998,2433
Viet Nam ,117,856,204,567,2415
Colombia ,27,43845,0,0,1779
Benin ,2000,1417,1115,1317,1754
Uruguay ,1261,1108,3275,5795,1718
Bangladesh ,37,112,601,870,1206
Mali ,704,20567,814,999,1185
Eritrea ,0,0,0,0,1118
Gambia ,1060,351,287,359,1031
Costa Rica ,2,0,0,0,901
Sierra Leone ,3855,1413,500,582,901
Cabo Verde ,679,12,26,289,788
Sri Lanka ,60,110,0,8,760
Bulgaria ,1853,128,6514,2406,719
Kenya ,1845,1,2608,3393,667
"Hong Kong, China ",1673,643,14876,430,636
Georgia ,0,0,552,668,503
Belarus ,0,23789,0,0,461
South Africa ,1413,1771,314,291,456
Iraq ,39268,31085,3373,360,444
Czech Republic ,159,299,27,7,372
Burkina Faso ,182,43,172,21,335
Niger ,12244,11882,2492,311,330
Nigeria ,1385,685,443,8021,325
Cameroon ,367,374,451,407,300
Liberia ,2874,34856,21663,187,232
Yemen ,0,37,0,0,232
Azerbaijan ,0,77,0,147,223
Equatorial Guinea ,1704,120,44,104,197
Oman ,264,22,25,26,147
Congo ,2038,73,102,52,134
Gabon ,1406,21,4,5,117
Bahrain ,61,26,5,128,98
Pakistan ,392,303,210,68,83
Austria ,31778,8,126,378,82
Angola ,438,841,939,6933,67
Guatemala ,76,141,4575,81,64
Kazakhstan ,0,0,42,0,59
Mauritius ,0,2,18,19,58
Denmark ,4297,3718,39939,860,53
Belize ,0,54,0,0,49
Hungary ,1,0,61,0,48
Sao Tome and Principe ,56,28,0,0,46
Somalia ,0,0,0,0,44
Cambodia ,37,99,45,37,44
Guyana ,0,0,0,31,32
Uzbekistan ,0,0,0,0,32
New Zealand ,11,0,20,77,26
Romania ,325,356,5990,63,18
Ecuador ,0,0,0,0,16
Luxembourg ,96,33,1,0,16
Maldives ,0,0,0,1,16
Madagascar ,5,155,2,0,3
Djibouti ,114,10,0,0,2
Central African Republic ,0,0,0,0,2
Comoros ,0,75,0,0,1
Finland ,75440,67227,0,1,1
Grenada ,0,0,0,0,1
Malawi ,0,0,0,0,1
Chad ,104,190,195,16,0
"Korea, Democratic People's Republic of ",0,0,0,0,0
Mongolia ,0,0,0,0,0
Marshall Islands ,0,0,71568,0,0
South Sudan ,0,11890,32,19868,0
Afghanistan ,0,0,0,0,0
Antigua and Barbuda ,0,0,27,1,0
Bahamas ,10192,18351,22625,44529,0
Armenia ,0,0,0,0,0
Barbados ,0,0,0,48,0
"Bolivia, Plurinational State of ",268,0,0,0,0
Bosnia and Herzegovina ,0,0,0,0,0
Botswana ,0,0,0,0,0
Brunei Darussalam ,0,0,0,0,0
Myanmar ,0,0,0,0,0
Burundi ,0,0,0,0,0
Chile ,63,291,3124,0,0
"Congo, Democratic Republic of the ",94,0,0,0,0
Dominica ,0,0,0,0,0
Haiti ,2,0,0,0,0
Honduras ,2,0,0,0,0
Iceland ,48,0,13,0,0
"Iran, Islamic Republic of ",140,7,3,3,0
Jamaica ,0,0,0,0,0
Kyrgyzstan ,0,0,0,0,0
Lao People's Democratic Republic ,0,1,0,0,0
Lesotho ,0,0,0,0,0
Lithuania ,622,0,16,48,0
"Moldova, Republic of ",0,24789,0,0,0
Mozambique ,8,10,8,0,0
Nepal ,381,18463,0,0,0
Peru ,0,0,0,0,0
Saint Kitts and Nevis ,77,2688,2974,2208,0
Saint Vincent and the Grenadines ,0,16,0,0,0
Serbia ,2334,944,999,0,0
Seychelles ,183,0,45,5,0
Slovakia ,0,0,1,0,0
Zimbabwe ,0,0,0,0,0
Suriname ,0,2,0,0,0
Eswatini ,0,2,4,0,0
Trinidad and Tobago ,1,50,52,4,0
Uganda ,0,0,0,0,0
"Venezuela, Bolivarian Republic of ",23468,138750,0,0,0
Zambia ,0,0,0,0,0
