Year,Product,Global_Demand,Untapped_Potential,Algeria_Exports,Algeria_Market_Share,Market_Share,Export_Growth_Rate,cluster,Opportunity_Label
2024,80810,15.89929719552766,15.899296997888271,1.588,0.0,0.0,147.352,3,Medium Opportunity
2024,330499,17.80219734885616,17.802193639560098,199.842,0.0004,0.0004,149.4439,3,Medium Opportunity
2024,732510,14.611033299183203,14.611033299183203,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,848330,15.913011494422413,15.913011370922991,1.006,0.0,0.0,-95.8034,0,Niche / Emerging
2024,853610,15.002454328233709,15.00245070850872,11.862,0.0004,0.0004,23.4468,0,Niche / Emerging
2024,870821,14.968585752556534,14.968585742455268,0.032,0.0,0.0,-99.9821,0,Niche / Emerging
2024,870899,18.384966303165108,18.384965838399054,44.846,0.0,0.0,-14.8046,0,Niche / Emerging
2024,252620,13.719527459901233,13.719527459901233,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,732189,14.240193341271741,14.240193341271741,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,761510,15.643757112515544,15.643753261128882,23.967,0.0004,0.0004,165.739,3,Medium Opportunity
2024,840999,17.412721775667237,17.412721621322863,5.633,0.0,0.0,-76.1354,0,Niche / Emerging
2024,841391,16.69139448467424,16.691392843962817,29.108,0.0002,0.0002,-90.4784,0,Niche / Emerging
2024,841451,15.703024426649826,15.703024426649826,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,842410,14.453783745289833,14.45378327149096,0.897,0.0,0.0,-88.8488,0,Niche / Emerging
2024,860900,15.7732501260186,15.773237724373331,87.844,0.0012,0.0012,71.2392,0,Niche / Emerging
2024,870830,17.443643887505612,17.443640618268695,123.062,0.0003,0.0003,183.1485,3,Medium Opportunity
2024,870880,17.099859497214194,17.099857872844208,43.357,0.0002,0.0002,-87.7683,0,Niche / Emerging
2024,902710,15.944599057613264,15.944595205550533,32.385000000000005,0.0004,0.0004,200.0,3,Medium Opportunity
2024,560122,14.191206011169701,14.191206011169701,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,620193,16.359059341266157,16.359057730623967,20.495,0.0002,0.0002,78.5901,0,Niche / Emerging
2024,620343,16.13129677255809,16.131296505309425,2.708,0.0,0.0,-90.6595,0,Niche / Emerging
2024,700910,15.397289253094401,15.39728924692613,0.03,0.0,0.0,-87.7049,0,Niche / Emerging
2024,710310,14.083107837829994,14.083107837829994,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,841490,16.70385532423359,16.703853172095553,38.66,0.0002,0.0002,-78.2486,0,Niche / Emerging
2024,844399,17.577144896183544,17.57714323157954,71.609,0.0002,0.0002,-52.2546,0,Niche / Emerging
2024,848210,16.454481640646083,16.454481273614363,5.138,0.0,0.0,-96.5793,0,Niche / Emerging
2024,848220,15.359994505536012,15.359994505536012,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,853190,15.27533913215176,15.27533913215176,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,80211,14.28933650720361,14.28933650720361,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,80212,15.449370916741033,15.449343275136194,141.623,0.0028,0.0028,200.0,3,Medium Opportunity
2024,80252,13.997447090645958,13.997447048963243,0.05,0.0,0.0,-80.0,0,Niche / Emerging
2024,80420,13.687824484696378,13.687567856614463,225.837,0.0257,0.0257,44.3657,0,Niche / Emerging
2024,80620,14.479272340897227,14.479270737464008,3.114,0.0002,0.0002,-21.3438,0,Niche / Emerging
2024,81310,13.244584250831291,13.244584194194305,0.032,0.0,0.0,-99.9903,0,Niche / Emerging
2024,81320,13.41514079600378,13.414552035427873,394.396,0.0589,0.0589,200.0,3,Medium Opportunity
2024,81340,14.079121309858813,14.07911842960095,3.749,0.0003,0.0003,73.8062,0,Niche / Emerging
2024,91020,12.464787007198929,12.464782845875716,1.0779999999999998,0.0004,0.0004,200.0,3,Medium Opportunity
2024,110100,15.59251847779667,15.58950339631809,17798.739,0.3011,0.3011,120.2614,3,Medium Opportunity
2024,120799,14.118494554282924,14.118494139922113,0.561,0.0,0.0,200.0,3,Medium Opportunity
2024,170113,14.574334309961818,14.574323556836003,22.966,0.0011,0.0011,-68.8533,0,Niche / Emerging
2024,170490,16.612852257496836,16.612842194760972,165.038,0.001,0.001,38.5582,0,Niche / Emerging
2024,200819,15.728466221021314,15.72845909882805,48.239,0.0007,0.0007,200.0,3,Medium Opportunity
2024,220210,16.55488390213069,16.55372925133162,17860.543999999998,0.1154,0.1154,44.9686,0,Niche / Emerging
2024,300490,19.80864258363183,19.808591805589923,20344.597,0.0051,0.0051,200.0,3,Medium Opportunity
2024,320990,14.993419470208227,14.993416536939357,9.526000000000002,0.0003,0.0003,200.0,3,Medium Opportunity
2024,391990,16.77164887202924,16.77164644334396,46.688,0.0002,0.0002,-24.5471,0,Niche / Emerging
2024,392310,16.446915798523627,16.44683654958753,1100.984,0.0079,0.0079,96.3102,3,Medium Opportunity
2024,420221,16.69118571752968,16.691184939342982,13.803,0.0001,0.0001,-66.344,0,Niche / Emerging
2024,520822,12.62444465671599,12.62444465671599,0.0,0.0,0.0,0.0,2,Low Priority
2024,540710,14.209851677966299,14.209851434607485,0.361,0.0,0.0,-98.8204,0,Niche / Emerging
2024,570110,13.29750390219497,13.29750390219497,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,570190,12.577046262465323,12.577042929459598,0.966,0.0003,0.0003,152.8796,3,Medium Opportunity
2024,570210,11.787053434174554,11.787036929341225,2.171,0.0017,0.0017,-71.6654,2,Low Priority
2024,570232,12.44289646973758,12.44289646973758,0.0,0.0,0.0,0.0,2,Low Priority
2024,570241,12.202815406482049,12.202814899834332,0.101,0.0001,0.0001,-20.4724,2,Low Priority
2024,570292,13.097379093281951,13.092063963337539,2585.114,0.5301,0.5301,44.6452,0,Niche / Emerging
2024,570299,12.67882502163248,12.678821188426122,1.23,0.0004,0.0004,7.3298,2,Low Priority
2024,570310,13.346504119358642,13.346504096980969,0.014,0.0,0.0,-98.3702,0,Niche / Emerging
2024,570330,15.087054361876246,15.08704520093792,32.67100000000001,0.0009,0.0009,-78.044,0,Niche / Emerging
2024,570500,14.498775606705445,14.498739166716728,72.16199999999999,0.0036,0.0036,200.0,3,Medium Opportunity
2024,610443,15.336559572844617,15.336559471905662,0.4619999999999999,0.0,0.0,8.4507,0,Niche / Emerging
2024,610449,12.6565713309801,12.656568138050625,1.002,0.0003,0.0003,-14.7959,2,Low Priority
2024,611011,15.388588135356345,15.388588079149347,0.271,0.0,0.0,-65.5216,0,Niche / Emerging
2024,611190,12.952920580219514,12.952920021067115,0.236,0.0001,0.0001,-56.2152,0,Niche / Emerging
2024,620442,15.47504421164532,15.475043002177053,6.358,0.0001,0.0001,200.0,3,Medium Opportunity
2024,620443,15.850766960384075,15.850766336805846,4.773000000000001,0.0001,0.0001,-63.3213,0,Niche / Emerging
2024,620449,14.738213701510812,14.73820599744134,19.384,0.0008,0.0008,-29.9534,0,Niche / Emerging
2024,620451,12.4001735196274,12.4001735196274,0.0,0.0,0.0,0.0,2,Low Priority
2024,620452,14.452549293039237,14.452548166046059,2.131,0.0001,0.0001,-88.4505,0,Niche / Emerging
2024,620459,13.877855951579802,13.877855930909519,0.022,0.0,0.0,-95.1111,0,Niche / Emerging
2024,620690,14.257708946461674,14.257708819865107,0.197,0.0,0.0,123.8636,3,Medium Opportunity
2024,621050,14.601515346413102,14.601499674264256,34.39399999999999,0.0016,0.0016,72.7647,0,Niche / Emerging
2024,630399,12.897761500750436,12.89776059943658,0.36,0.0001,0.0001,-65.1838,0,Niche / Emerging
2024,630492,13.335991644850708,13.335991610929469,0.021,0.0,0.0,-76.6667,0,Niche / Emerging
2024,630499,12.893326826425541,12.893323881618517,1.171,0.0003,0.0003,4.3672,2,Low Priority
2024,630790,16.621840355664535,16.621838720404966,27.062,0.0002,0.0002,200.0,3,Medium Opportunity
2024,650699,13.132045648570328,13.132045648570328,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,680221,14.33825948558562,14.33825948558562,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,680229,12.664099381018106,12.664099381018106,0.0,0.0,0.0,0.0,2,Low Priority
2024,691200,14.821103952959303,14.821098760390425,14.194,0.0005,0.0005,-26.0614,0,Niche / Emerging
2024,702000,15.342199713991997,15.342199342270725,1.711,0.0,0.0,-96.0952,0,Niche / Emerging
2024,710391,15.680457100305807,15.680457100305807,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,710399,14.622627224724468,14.622627224724468,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,711311,15.953278085030659,15.953277926549127,1.344,0.0,0.0,-49.3976,0,Niche / Emerging
2024,711790,14.599177698980025,14.5991762105022,3.2589999999999995,0.0001,0.0001,92.8402,3,Medium Opportunity
2024,732393,16.047680438030337,16.04767944533318,9.252,0.0001,0.0001,-46.4831,0,Niche / Emerging
2024,820540,13.748289733331614,13.748289733331614,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,820890,14.29463998763731,14.294618423840246,34.818,0.0022,0.0022,200.0,3,Medium Opportunity
2024,821490,12.410748367429017,12.410748188148464,0.044,0.0,0.0,-46.3415,2,Low Priority
2024,840991,17.335240080766557,17.33523987005037,7.116999999999999,0.0,0.0,-16.6823,0,Niche / Emerging
2024,841899,15.935836302109411,15.935831347245376,41.293,0.0005,0.0005,-70.1647,0,Niche / Emerging
2024,842123,16.073669433397573,16.07365617623926,126.81,0.0013,0.0013,3.548,0,Niche / Emerging
